time,Biomass,CoalGas,Gas_CCGT,Geothermal,HardCoal,HydroPump,HydroRes,HydroRoR,Lignite,Nuclear,Oil,Other,OtherRen,Solar,Waste,WindOff,WindOn
2026-05-10 00:00:00,4170.45,517.13,4301.33,20.5,3610.98,2109.6,33.35,1326.98,6789.79,0.0,107.94,219.36,82.49,0.14,768.84,781.04,8021.57
2026-05-10 00:15:00,4158.42,532.65,4271.32,20.5,3605.5,1805.93,29.19,1343.28,6781.41,0.0,105.02,219.31,82.49,0.14,770.22,815.53,7927.08
2026-05-10 00:30:00,4144.55,524.44,4252.17,20.5,3609.52,1791.67,30.12,1340.87,6777.24,0.0,104.9,219.51,82.49,0.13,777.52,796.21,7644.96
2026-05-10 00:45:00,4133.79,533.83,4262.93,20.5,3604.12,1468.73,30.36,1327.38,6792.41,0.0,104.9,219.02,82.49,0.12,776.2,799.95,7421.49
2026-05-10 01:00:00,4117.26,533.86,4242.83,20.5,3584.73,1119.77,30.25,1324.41,6749.61,0.0,105.03,219.02,82.49,0.12,766.65,790.0,7234.38
2026-05-10 01:15:00,4103.94,553.94,4218.46,20.5,3588.57,962.81,30.78,1312.41,6708.51,0.0,104.9,218.86,82.49,0.1,769.42,789.05,6985.51
2026-05-10 01:30:00,4100.26,470.71,4189.68,20.5,3578.65,880.72,29.83,1317.6,6718.84,0.0,104.9,218.73,82.49,0.11,768.9,811.7,6702.67
2026-05-10 01:45:00,4090.17,453.55,4140.2,20.5,3575.94,950.62,29.04,1307.58,6722.16,0.0,104.9,218.67,82.49,0.1,767.92,779.45,6378.73
2026-05-10 02:00:00,4070.91,472.27,4140.11,20.5,3577.59,2092.18,28.59,1305.36,6727.89,0.0,104.9,218.93,82.49,0.11,759.02,767.01,6059.37
2026-05-10 02:15:00,4082.2,476.51,4139.71,20.5,3575.52,655.01,28.56,1288.94,6721.35,0.0,104.9,218.92,82.49,0.1,759.31,743.55,5832.81
2026-05-10 02:30:00,4076.58,474.94,4146.11,20.5,3572.66,447.66,27.44,1286.05,6786.02,0.0,104.9,218.78,82.49,0.1,764.24,657.94,5602.61
2026-05-10 02:45:00,4076.24,455.82,4141.39,20.5,3574.93,188.56,27.46,1283.48,6802.7,0.0,104.9,218.69,82.49,0.09,758.06,596.19,5417.22
2026-05-10 03:00:00,4072.71,455.22,4139.0,20.5,3569.56,380.03,26.87,1275.33,6800.65,0.0,104.9,218.95,82.49,0.07,759.46,595.51,5309.92
2026-05-10 03:15:00,4076.73,458.64,4140.14,20.5,3572.93,981.67,27.16,1277.23,6792.01,0.0,104.9,218.81,82.49,0.06,758.95,625.18,5117.55
2026-05-10 03:30:00,4077.13,465.12,4138.66,20.5,3563.42,551.62,26.87,1265.51,6794.18,0.0,104.9,218.71,82.49,0.07,758.67,662.55,4942.72
2026-05-10 03:45:00,4084.71,469.91,4152.1,20.5,3564.51,1075.15,26.96,1274.86,6789.13,0.0,104.9,218.97,82.49,0.06,759.09,712.92,4695.77
2026-05-10 04:00:00,4106.92,478.73,4159.75,20.5,3568.9,954.59,21.12,1266.37,6795.7,0.0,104.9,218.94,82.49,0.06,754.34,713.93,4588.41
2026-05-10 04:15:00,4119.59,481.84,4163.88,20.5,3576.18,291.84,20.84,1258.3,6791.47,0.0,104.9,218.97,82.49,0.06,752.17,803.76,4470.54
2026-05-10 04:30:00,4122.3,478.61,4161.64,20.5,3571.11,199.77,20.93,1248.25,6806.06,0.0,104.9,218.94,82.49,0.07,754.88,927.09,4320.14
2026-05-10 04:45:00,4136.23,498.31,4158.94,20.5,3570.17,403.27,21.48,1258.09,6592.87,0.0,104.9,218.86,82.49,0.07,754.5,917.77,4196.0
2026-05-10 05:00:00,4178.95,495.7,4053.93,20.5,3567.31,790.24,21.65,1255.36,6423.5,0.0,104.9,218.91,82.49,1.39,754.6,965.07,4095.27
2026-05-10 05:15:00,4181.74,480.4,3848.25,20.5,3569.9,986.5,21.15,1253.17,6408.5,0.0,104.9,218.97,82.49,14.36,749.11,1079.43,3964.79
2026-05-10 05:30:00,4206.7,491.9,3840.8,20.5,3568.83,411.76,20.84,1254.32,6433.75,0.0,104.9,218.98,82.49,90.39,731.47,1100.71,3890.1
2026-05-10 05:45:00,4234.25,497.17,4003.64,20.5,3562.91,779.12,21.02,1237.21,6304.81,0.0,104.9,218.95,82.49,372.82,746.62,1108.58,3862.67
2026-05-10 06:00:00,4329.25,486.4,3982.39,20.5,3497.55,134.55,20.55,1248.53,5995.2,0.0,104.9,218.97,82.49,1233.13,747.17,1109.99,3824.5
2026-05-10 06:15:00,4378.54,490.48,3978.57,20.5,3299.74,108.49,19.32,1253.09,5986.81,0.0,104.9,218.97,82.49,2279.99,750.32,1205.72,3708.01
2026-05-10 06:30:00,4390.59,485.04,3958.36,20.5,2935.0,9.94,23.83,1239.62,5942.32,0.0,104.9,218.98,82.49,3584.01,744.09,1298.07,3673.39
