"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"10/05/2026 00:00:00 - 10/05/2026 00:15:00","BZN|DE-LU","Biomass","4170.45"
"10/05/2026 00:15:00 - 10/05/2026 00:30:00","BZN|DE-LU","Biomass","4158.42"
"10/05/2026 00:30:00 - 10/05/2026 00:45:00","BZN|DE-LU","Biomass","4144.55"
"10/05/2026 00:45:00 - 10/05/2026 01:00:00","BZN|DE-LU","Biomass","4133.79"
"10/05/2026 01:00:00 - 10/05/2026 01:15:00","BZN|DE-LU","Biomass","4117.26"
"10/05/2026 01:15:00 - 10/05/2026 01:30:00","BZN|DE-LU","Biomass","4103.94"
"10/05/2026 01:30:00 - 10/05/2026 01:45:00","BZN|DE-LU","Biomass","4100.26"
"10/05/2026 01:45:00 - 10/05/2026 02:00:00","BZN|DE-LU","Biomass","4090.17"
"10/05/2026 02:00:00 - 10/05/2026 02:15:00","BZN|DE-LU","Biomass","4070.91"
"10/05/2026 02:15:00 - 10/05/2026 02:30:00","BZN|DE-LU","Biomass","4082.20"
"10/05/2026 02:30:00 - 10/05/2026 02:45:00","BZN|DE-LU","Biomass","4076.58"
"10/05/2026 02:45:00 - 10/05/2026 03:00:00","BZN|DE-LU","Biomass","4076.24"
"10/05/2026 03:00:00 - 10/05/2026 03:15:00","BZN|DE-LU","Biomass","4072.71"
"10/05/2026 03:15:00 - 10/05/2026 03:30:00","BZN|DE-LU","Biomass","4076.73"
"10/05/2026 03:30:00 - 10/05/2026 03:45:00","BZN|DE-LU","Biomass","4077.13"
"10/05/2026 03:45:00 - 10/05/2026 04:00:00","BZN|DE-LU","Biomass","4084.71"
"10/05/2026 04:00:00 - 10/05/2026 04:15:00","BZN|DE-LU","Biomass","4106.92"
"10/05/2026 04:15:00 - 10/05/2026 04:30:00","BZN|DE-LU","Biomass","4119.59"
"10/05/2026 04:30:00 - 10/05/2026 04:45:00","BZN|DE-LU","Biomass","4122.30"
"10/05/2026 04:45:00 - 10/05/2026 05:00:00","BZN|DE-LU","Biomass","4136.23"
"10/05/2026 05:00:00 - 10/05/2026 05:15:00","BZN|DE-LU","Biomass","4178.95"
"10/05/2026 05:15:00 - 10/05/2026 05:30:00","BZN|DE-LU","Biomass","4181.74"
"10/05/2026 05:30:00 - 10/05/2026 05:45:00","BZN|DE-LU","Biomass","4206.70"
"10/05/2026 05:45:00 - 10/05/2026 06:00:00","BZN|DE-LU","Biomass","4234.25"
"10/05/2026 06:00:00 - 10/05/2026 06:15:00","BZN|DE-LU","Biomass","4329.25"
"10/05/2026 06:15:00 - 10/05/2026 06:30:00","BZN|DE-LU","Biomass","4378.54"
"10/05/2026 06:30:00 - 10/05/2026 06:45:00","BZN|DE-LU","Biomass","4390.59"
"10/05/2026 06:45:00 - 10/05/2026 07:00:00","BZN|DE-LU","Biomass","4414.91"
"10/05/2026 07:00:00 - 10/05/2026 07:15:00","BZN|DE-LU","Biomass","4451.38"
"10/05/2026 07:15:00 - 10/05/2026 07:30:00","BZN|DE-LU","Biomass","4471.12"
"10/05/2026 07:30:00 - 10/05/2026 07:45:00","BZN|DE-LU","Biomass","4477.39"
"10/05/2026 07:45:00 - 10/05/2026 08:00:00","BZN|DE-LU","Biomass","4475.34"
"10/05/2026 08:00:00 - 10/05/2026 08:15:00","BZN|DE-LU","Biomass","4450.84"
"10/05/2026 08:15:00 - 10/05/2026 08:30:00","BZN|DE-LU","Biomass","4450.15"
"10/05/2026 08:30:00 - 10/05/2026 08:45:00","BZN|DE-LU","Biomass","4429.25"
