"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"10/05/2026 00:00 - 10/05/2026 00:15","BZN|DE-LU","40582.49","41664.49"
"10/05/2026 00:15 - 10/05/2026 00:30","BZN|DE-LU","40081.45","41017.16"
"10/05/2026 00:30 - 10/05/2026 00:45","BZN|DE-LU","39648.54","40511.87"
"10/05/2026 00:45 - 10/05/2026 01:00","BZN|DE-LU","39517.81","40051.12"
"10/05/2026 01:00 - 10/05/2026 01:15","BZN|DE-LU","39047.17","39618.89"
"10/05/2026 01:15 - 10/05/2026 01:30","BZN|DE-LU","38806.00","39220.30"
"10/05/2026 01:30 - 10/05/2026 01:45","BZN|DE-LU","38482.82","38897.19"
"10/05/2026 01:45 - 10/05/2026 02:00","BZN|DE-LU","37509.32","38571.06"
"10/05/2026 02:00 - 10/05/2026 02:15","BZN|DE-LU","37364.38","38423.30"
"10/05/2026 02:15 - 10/05/2026 02:30","BZN|DE-LU","37588.36","38296.34"
"10/05/2026 02:30 - 10/05/2026 02:45","BZN|DE-LU","37557.88","38170.93"
"10/05/2026 02:45 - 10/05/2026 03:00","BZN|DE-LU","37386.14","37853.73"
"10/05/2026 03:00 - 10/05/2026 03:15","BZN|DE-LU","37439.25","37851.97"
"10/05/2026 03:15 - 10/05/2026 03:30","BZN|DE-LU","37754.06","37744.76"
"10/05/2026 03:30 - 10/05/2026 03:45","BZN|DE-LU","37496.36","37635.15"
"10/05/2026 03:45 - 10/05/2026 04:00","BZN|DE-LU","37575.47","37629.30"
"10/05/2026 04:00 - 10/05/2026 04:15","BZN|DE-LU","37595.08","37802.25"
"10/05/2026 04:15 - 10/05/2026 04:30","BZN|DE-LU","37911.15","37831.86"
"10/05/2026 04:30 - 10/05/2026 04:45","BZN|DE-LU","37693.79","37922.47"
"10/05/2026 04:45 - 10/05/2026 05:00","BZN|DE-LU","37883.09","38033.87"
"10/05/2026 05:00 - 10/05/2026 05:15","BZN|DE-LU","38016.99","38333.63"
"10/05/2026 05:15 - 10/05/2026 05:30","BZN|DE-LU","38202.07","38590.15"
"10/05/2026 05:30 - 10/05/2026 05:45","BZN|DE-LU","38540.27","38244.55"
"10/05/2026 05:45 - 10/05/2026 06:00","BZN|DE-LU","39121.58","38320.87"
"10/05/2026 06:00 - 10/05/2026 06:15","BZN|DE-LU","39792.52","38535.11"
"10/05/2026 06:15 - 10/05/2026 06:30","BZN|DE-LU","40165.11","39578.91"
"10/05/2026 06:30 - 10/05/2026 06:45","BZN|DE-LU","40037.77","39955.52"
"10/05/2026 06:45 - 10/05/2026 07:00","BZN|DE-LU","39951.24","40557.23"
"10/05/2026 07:00 - 10/05/2026 07:15","BZN|DE-LU","39611.97","41125.50"
